depth	cry_list	cry_num	node	init_structure
#1	BT_Cry30Aa1,BT_Cry30Ea1	2	58	BT_Cry30Aa1; BT_Cry30Ea1
#1	BT_Cry30Da1,BT_Cry30Ga1	2	59	BT_Cry30Da1; BT_Cry30Ga1
#1	BT_Cry48Ab1,BT_Cry48Aa1	2	60	BT_Cry48Ab1; BT_Cry48Aa1
#1	BT_Cry32Ja1,BT_Cry32Ra1	2	61	BT_Cry32Ja1; BT_Cry32Ra1
#1	BT_Cry32Ka1,BT_Cry32Ga1	2	62	BT_Cry32Ka1; BT_Cry32Ga1
#1	BT_Cry7Ba1,NOV_Cry7Ba1_84.3_AFI42043.1	2	63	BT_Cry7Ba1; NOV_Cry7Ba1_84.3_AFI42043.1
#1	NOV_Cry1Da1_83.2_AIW52615.1,BT_Cry1Db1	2	64	NOV_Cry1Da1_83.2_AIW52615.1; BT_Cry1Db1
#1	NOV_Cry1Ad2_87.7_AIW52617.1,BT_Cry1Ah2	2	65	NOV_Cry1Ad2_87.7_AIW52617.1; BT_Cry1Ah2
#1	NOV_Cry1Ha1_85.7_AIW52616.1,BT_Cry1Hb1	2	66	NOV_Cry1Ha1_85.7_AIW52616.1; BT_Cry1Hb1
#1	BT_Cry1Ga2,NOV_Cry1Ga1_77.9_AX098669.1	2	67	BT_Cry1Ga2; NOV_Cry1Ga1_77.9_AX098669.1
#1	BT_Cry1Jd1,NOV_Cry1Jc1_99.1_AAS93799.1	2	68	BT_Cry1Jd1; NOV_Cry1Jc1_99.1_AAS93799.1
#1	NOV_Cry7Gb1_94.1_AGM39662.1,BT_Cry7Ga2	2	69	NOV_Cry7Gb1_94.1_AGM39662.1; BT_Cry7Ga2
#1	BT_Cry8Ba1,NOV_Cry8Ba1_88.6_AEP25412.1	2	70	BT_Cry8Ba1; NOV_Cry8Ba1_88.6_AEP25412.1
#1	NOV_Cry8Ha1_89.4_ABB29866.1,BT_Cry8Ha1	2	71	NOV_Cry8Ha1_89.4_ABB29866.1; BT_Cry8Ha1
#1	NOV_Cry7Fb2_99.7_AHB36886.1,BT_Cry7Fa1	2	72	NOV_Cry7Fb2_99.7_AHB36886.1; BT_Cry7Fa1
#1	NOV_Cry1Ie5_79.3_PQQ47595.1,BT_Cry1Ie4	2	73	NOV_Cry1Ie5_79.3_PQQ47595.1; BT_Cry1Ie4
#1	NOV_Cry2Ak1_76.8_AX513524.1,BT_Cry2Ba2	2	74	NOV_Cry2Ak1_76.8_AX513524.1; BT_Cry2Ba2
#1	BT_Cry2Al1,NOV_Cry2Ab4_93.2_AIT70915.1	2	75	BT_Cry2Al1; NOV_Cry2Ab4_93.2_AIT70915.1
#1	NOV_Cry4Ca2_48.4_AZJ24771.1,BT_Cry4Aa1	2	76	NOV_Cry4Ca2_48.4_AZJ24771.1; BT_Cry4Aa1
#1	BT_Cry61Aa1,NOV_Cry7Cb1_60.4_OTY00887.1	2	77	BT_Cry61Aa1; NOV_Cry7Cb1_60.4_OTY00887.1
#1	BT_Cry21Ha1,NOV_Cry5Ba1_48.7_TEA80813.1	2	78	BT_Cry21Ha1; NOV_Cry5Ba1_48.7_TEA80813.1
#1	NOV_Cry32Ea2_41.9_AQM56938.1,BT_Cry32Aa1	2	79	NOV_Cry32Ea2_41.9_AQM56938.1; BT_Cry32Aa1
#1	BT_Cry73Aa1,NOV_Cry73Aa1_88.4_AQM56942.1	2	80	BT_Cry73Aa1; NOV_Cry73Aa1_88.4_AQM56942.1
#1	BT_Cry62Aa1,NOV_Cry41Ca1_50.4_AZJ24166.1	2	81	BT_Cry62Aa1; NOV_Cry41Ca1_50.4_AZJ24166.1
#1	NOV_Cry40Aa1_67.9_CQ868314.1,BT_Cry40Aa1	2	82	NOV_Cry40Aa1_67.9_CQ868314.1; BT_Cry40Aa1
#1	NOV_Cry68Aa1_80.1_PEU91245.1,BT_Cry68Aa1	2	83	NOV_Cry68Aa1_80.1_PEU91245.1; BT_Cry68Aa1
#1	NOV_Cry25Aa1_97.8_OUB78400.1,BT_Cry59Aa1	2	84	NOV_Cry25Aa1_97.8_OUB78400.1; BT_Cry59Aa1
#1	BT_Cry20Ba2,NOV_Cry20Ba2_80.0_AGV55017.1	2	85	BT_Cry20Ba2; NOV_Cry20Ba2_80.0_AGV55017.1
#1	BT_Cry3Aa10,NOV_Cry3Aa12_81.9_AEZ53144.1	2	86	BT_Cry3Aa10; NOV_Cry3Aa12_81.9_AEZ53144.1
#1	BT_Cry71Aa1,NOV_Cry71Aa1_65.9_PEU78325.1	2	87	BT_Cry71Aa1; NOV_Cry71Aa1_65.9_PEU78325.1
#1	NOV_Cry19Ba1_74.0_AGV55021.1,BT_Cry19Ba1	2	88	NOV_Cry19Ba1_74.0_AGV55021.1; BT_Cry19Ba1
#1	NOV_Cry14Ab1_85.6_AXE15628.1,BT_Cry14Ab1	2	89	NOV_Cry14Ab1_85.6_AXE15628.1; BT_Cry14Ab1
#1	NOV_Cry70Bb1_67.1_OUB77817.1,BT_Cry70Ba1	2	90	NOV_Cry70Bb1_67.1_OUB77817.1; BT_Cry70Ba1
#1	BT_Cry57Ab1,NOV_Cry57Ab1_90.3_ACN87261.1	2	91	BT_Cry57Ab1; NOV_Cry57Ab1_90.3_ACN87261.1
#1	BT_Cry27Aa1,NOV_Cry27Aa1_80.8_AGV55018.1	2	92	BT_Cry27Aa1; NOV_Cry27Aa1_80.8_AGV55018.1
#1	NOV_Cry29Aa1_96.4_OUC03129.1,BT_Cry29Aa1	2	93	NOV_Cry29Aa1_96.4_OUC03129.1; BT_Cry29Aa1
#1	BT_Cry30Ca1,NOV_Cry30Ca1_66.6_BAD00052.1	2	94	BT_Cry30Ca1; NOV_Cry30Ca1_66.6_BAD00052.1
#1	NOV_Cry54Aa1_88.1_AFU17344.1,BT_Cry54Aa1	2	95	NOV_Cry54Aa1_88.1_AFU17344.1; BT_Cry54Aa1
#1	NOV_Cry32Ta1_48.0_AQX37180.1,BT_Cry32Qa1	2	96	NOV_Cry32Ta1_48.0_AQX37180.1; BT_Cry32Qa1
#1	BT_Cry1A-like,NOV_Cry1Ab12_91.4_AAK14338.1	2	97	BT_Cry1A-like; NOV_Cry1Ab12_91.4_AAK14338.1
#1	BT_Cry32Va1,NOV_Cry32Va1_61.0_WP_134996253.1	2	98	BT_Cry32Va1; NOV_Cry32Va1_61.0_WP_134996253.1
#1	NOV_Cry41Ca1_39.9_WP_001075423.1,BT_Cry41Ba1	2	99	NOV_Cry41Ca1_39.9_WP_001075423.1; BT_Cry41Ba1
#1	BT_Cry70Aa1,NOV_Cry70Aa1_77.7_WP_098222608.1	2	100	BT_Cry70Aa1; NOV_Cry70Aa1_77.7_WP_098222608.1
#1	NOV_Cry7Ca1_86.8_AGM39664.1,NOV_Cry7Ca1_99.7_ABR67863.2	2	101	NOV_Cry7Ca1_86.8_AGM39664.1; NOV_Cry7Ca1_99.7_ABR67863.2
#1	NOV_Cry8Ca1_41.2_AST51780.1,NOV_Cry8Ca1_42.6_ABY46520.1	2	102	NOV_Cry8Ca1_41.2_AST51780.1; NOV_Cry8Ca1_42.6_ABY46520.1
#1	NOV_Cry8Aa1_47.1_EEM92570.1,NOV_Cry8Ja1_60.3_PEE68563.1	2	103	NOV_Cry8Aa1_47.1_EEM92570.1; NOV_Cry8Ja1_60.3_PEE68563.1
#1	NOV_Cry4Ba1_63.8_OUB35623.1,NOV_Cry4Ba1_63.7_AJW76684.1	2	104	NOV_Cry4Ba1_63.8_OUB35623.1; NOV_Cry4Ba1_63.7_AJW76684.1
#1	NOV_Cry4Aa1_32.5_ADM64568.1,NOV_Cry4Ca2_51.6_AZJ24420.1	2	105	NOV_Cry4Aa1_32.5_ADM64568.1; NOV_Cry4Ca2_51.6_AZJ24420.1
#1	NOV_Cry41Ba2_47.9_BAD35157.1,NOV_Cry41Ba2_43.6_BAD35163.1	2	106	NOV_Cry41Ba2_47.9_BAD35157.1; NOV_Cry41Ba2_43.6_BAD35163.1
#1	NOV_Cry40Da1_81.5_AIN76756.1,NOV_Cry40Da1_77.3_ARJ25823.1	2	107	NOV_Cry40Da1_81.5_AIN76756.1; NOV_Cry40Da1_77.3_ARJ25823.1
#1	NOV_Cry40Da1_66.9_PEU78339.1,NOV_Cry40Da1_65.0_CAH33957.1	2	108	NOV_Cry40Da1_66.9_PEU78339.1; NOV_Cry40Da1_65.0_CAH33957.1
#1	NOV_Cry1Ac23_90.7_CAQ03747.1,NOV_Cry1Ab32_92.7_AAK14337.1	2	109	NOV_Cry1Ac23_90.7_CAQ03747.1; NOV_Cry1Ab32_92.7_AAK14337.1
#1	NOV_Cry43Cb1_38.6_AGV55020.1,NOV_Cry53Ab1_39.4_AFM37573.1	2	110	NOV_Cry43Cb1_38.6_AGV55020.1; NOV_Cry53Ab1_39.4_AFM37573.1
#1	NOV_Cry53Ab1_40.0_CAH33955.1,NOV_Cry53Ab1_40.9_APA45008.1	2	111	NOV_Cry53Ab1_40.0_CAH33955.1; NOV_Cry53Ab1_40.9_APA45008.1
#1	NOV_Cry32Ua1_65.2_AQM56939.1,NOV_Cry65Aa2_55.6_PDY37670.1	2	112	NOV_Cry32Ua1_65.2_AQM56939.1; NOV_Cry65Aa2_55.6_PDY37670.1
#1	NOV_Cry11Aa1_99.2_AXJ97555.1,NOV_Cry11Aa1_95.8_ABW89741.1	2	113	NOV_Cry11Aa1_99.2_AXJ97555.1; NOV_Cry11Aa1_95.8_ABW89741.1
#1	NOV_Cry21Ca2_65.9_AZR80774.1,NOV_Cry21Ca2_64.6_AZR80780.1	2	114	NOV_Cry21Ca2_65.9_AZR80774.1; NOV_Cry21Ca2_64.6_AZR80780.1
#1	NOV_Cry58Aa1_27.6_AGS78122.1,NOV_Cry21Ca2_37.1_AOM14729.1	2	115	NOV_Cry58Aa1_27.6_AGS78122.1; NOV_Cry21Ca2_37.1_AOM14729.1
#1	NOV_Cry21Fa1_31.0_OTW70091.1,NOV_Cry21Fa1_47.3_OTY57628.1	2	116	NOV_Cry21Fa1_31.0_OTW70091.1; NOV_Cry21Fa1_47.3_OTY57628.1
#1	NOV_Cry14Ab1_42.4_PGW46196.1,NOV_Cry14Aa1_44.0_PGW42274.1	2	117	NOV_Cry14Ab1_42.4_PGW46196.1; NOV_Cry14Aa1_44.0_PGW42274.1
#1	NOV_Cry56Aa4_56.4_PEU80288.1,NOV_Cry56Aa2_56.0_AGV55019.1	2	118	NOV_Cry56Aa4_56.4_PEU80288.1; NOV_Cry56Aa2_56.0_AGV55019.1
#1	NOV_Cry10Aa1_97.2_ABW89735.1,NOV_Cry10Aa1_97.0_ABW89733.1	2	119	NOV_Cry10Aa1_97.2_ABW89735.1; NOV_Cry10Aa1_97.0_ABW89733.1
#1	NOV_Cry48Aa1_36.6_CAH33948.1,NOV_Cry48Aa1_36.9_CAH33950.1	2	120	NOV_Cry48Aa1_36.6_CAH33948.1; NOV_Cry48Aa1_36.9_CAH33950.1
#1	NOV_Cry8Db1_51.1_PNK22955.1,NOV_Cry8Db1_49.9_WP_103653049.1	2	121	NOV_Cry8Db1_51.1_PNK22955.1; NOV_Cry8Db1_49.9_WP_103653049.1
#1	NOV_Cry8Ma2_96.0_WP_103622989.1,NOV_Cry8Ma3_96.0_ATY50149.1	2	122	NOV_Cry8Ma2_96.0_WP_103622989.1; NOV_Cry8Ma3_96.0_ATY50149.1
#1	NOV_Cry24Aa1_98.3_WP_086403584.1,NOV_Cry24Aa1_60.8_BAD32657.1	2	123	NOV_Cry24Aa1_98.3_WP_086403584.1; NOV_Cry24Aa1_60.8_BAD32657.1
#1	NOV_Cry56Aa4_77.6_ARJ25668.1,NOV_Cry56Aa4_79.3_WP_103592286.1	2	124	NOV_Cry56Aa4_77.6_ARJ25668.1; NOV_Cry56Aa4_79.3_WP_103592286.1
#1	NOV_Cry69Ab1_59.2_WP_103591619.1,NOV_Cry69Aa2_62.7_WP_103591151.1	2	125	NOV_Cry69Ab1_59.2_WP_103591619.1; NOV_Cry69Aa2_62.7_WP_103591151.1
#2	BT_Cry7Gb1,BT_Cry7Gc1,NOV_Cry7Gb1_94.1_AGM39662.1,BT_Cry7Ga2	4	126	7; 69
#2	BT_Cry32Va1,NOV_Cry32Va1_61.0_WP_134996253.1,NOV_Cry32Ea2_41.9_AQM56938.1,BT_Cry32Aa1	4	127	98; 79
#2	BT_Cry67Aa2,BT_Cry32Sa1,BT_Cry32Cb1,BT_Cry32Ca1	4	128	41; 42
#2	BT_Cry43Ca1,BT_Cry43Cc1,BT_Cry43Aa1,BT_Cry43Ba1	4	129	47; 48
#2	BT_Cry1Be1,BT_Cry1Bj1,BT_Cry1Bf1,BT_Cry1Ba1	4	130	18; 19
#2	NOV_Cry11Aa1_99.2_AXJ97555.1,NOV_Cry11Aa1_95.8_ABW89741.1,BT_Cry11Bb1,BT_Cry11Ba1	4	131	113; 51
#2	BT_Cry4Ba1,BT_Cry4Ba3,NOV_Cry4Ba1_63.8_OUB35623.1,NOV_Cry4Ba1_63.7_AJW76684.1	4	132	27; 104
#2	BT_Cry48Ab1,BT_Cry48Aa1,NOV_Cry48Aa1_36.6_CAH33948.1,NOV_Cry48Aa1_36.9_CAH33950.1	4	133	60; 120
#2	BT_Cry8Kb1,BT_Cry8Ka3,BT_Cry8Ka1	3	134	BT_Cry8Kb1; 4
#2	BT_Cry3Aa10,NOV_Cry3Aa12_81.9_AEZ53144.1,BT_Cry3Ca1	3	135	86; BT_Cry3Ca1
#2	BT_Cry7Bb1,BT_Cry7Ba1,NOV_Cry7Ba1_84.3_AFI42043.1	3	136	BT_Cry7Bb1; 63
#2	BT_Cry61Aa1,NOV_Cry7Cb1_60.4_OTY00887.1,BT_Cry7La1	3	137	77; BT_Cry7La1
#2	NOV_Cry1Da1_83.2_AIW52615.1,BT_Cry1Db1,BT_Cry1Da1	3	138	64; BT_Cry1Da1
#2	BT_Cry1Ag1,BT_Cry1Aa10,BT_Cry1Ai1	3	139	28; BT_Cry1Ai1
#2	BT_Cry1A-like,NOV_Cry1Ab12_91.4_AAK14338.1,BT_Cry1Ab2	3	140	97; BT_Cry1Ab2
#2	BT_Cry1Ha1,NOV_Cry1Ha1_85.7_AIW52616.1,BT_Cry1Hb1	3	141	BT_Cry1Ha1; 66
#2	BT_Cry1La1,BT_Cry1Ga2,NOV_Cry1Ga1_77.9_AX098669.1	3	142	BT_Cry1La1; 67
#2	BT_Cry1Jb1,BT_Cry1Jd1,NOV_Cry1Jc1_99.1_AAS93799.1	3	143	BT_Cry1Jb1; 68
#2	BT_Cry26Aa1,BT_Cry7Ja1,BT_Cry7Da1	3	144	BT_Cry26Aa1; 8
#2	BT_Cry7Ac1,BT_Cry7Ab5,BT_Cry7Ab1	3	145	BT_Cry7Ac1; 11
#2	BT_Cry8Bc1,BT_Cry8Ba1,NOV_Cry8Ba1_88.6_AEP25412.1	3	146	BT_Cry8Bc1; 70
#2	BT_Cry8Pa1,BT_Cry8Ja1,BT_Cry8Ea2	3	147	BT_Cry8Pa1; 12
#2	BT_Cry1Ig1,BT_Cry1Id1,BT_Cry1Ma1	3	148	BT_Cry1Ig1; 16
#2	BT_Cry1Bd1,BT_Cry1Bb1,BT_Cry1Bh1	3	149	20; BT_Cry1Bh1
#2	BT_Cry9Ed1,BT_Cry9Ec1,BT_Cry9Ee1	3	150	23; BT_Cry9Ee1
#2	BT_Cry9Da1,BT_Cry9Dc1,BT_Cry9Db1	3	151	BT_Cry9Da1; 25
#2	BT_Cry5Ba1,BT_Cry21Aa1,BT_Cry21Ba1	3	152	BT_Cry5Ba1; 52
#2	BT_Cry2Aa3,BT_Cry2Al1,NOV_Cry2Ab4_93.2_AIT70915.1	3	153	BT_Cry2Aa3; 75
#2	BT_Cry32La1,BT_Cry32Ba1,BT_Cry32Fa1	3	154	35; BT_Cry32Fa1
#2	BT_Cry32Ha1,BT_Cry32Hb1,BT_Cry32Oa1	3	155	36; BT_Cry32Oa1
#2	BT_Cry32Wa1,BT_Cry32Ma1,BT_Cry32Mb1	3	156	BT_Cry32Wa1; 38
#2	BT_Cry20Ba2,NOV_Cry20Ba2_80.0_AGV55017.1,BT_Cry20Aa1	3	157	85; BT_Cry20Aa1
#2	BT_Cry7Cb1,NOV_Cry7Ca1_86.8_AGM39664.1,NOV_Cry7Ca1_99.7_ABR67863.2	3	158	BT_Cry7Cb1; 101
#2	BT_Cry1Ia18,BT_Cry1Ic1,BT_Cry1Ia11	3	159	31; BT_Cry1Ia11
#2	NOV_Cry19Ba1_74.0_AGV55021.1,BT_Cry19Ba1,BT_Cry19Ca1	3	160	88; BT_Cry19Ca1
#2	BT_Cry21Ga1,BT_Cry5Ea2,BT_Cry5Ab1	3	161	BT_Cry21Ga1; 26
#2	NOV_Cry14Ab1_85.6_AXE15628.1,BT_Cry14Ab1,BT_Cry14Aa1	3	162	89; BT_Cry14Aa1
#2	BT_Cry18Ca1,BT_Cry18Ba1,BT_Cry18Aa1	3	163	53; BT_Cry18Aa1
#2	BT_Cry2Ab15,BT_Cry2Aa13,BT_Cry2Ab12	3	164	BT_Cry2Ab15; 54
#2	BT_Cry31Ab1,BT_Cry31Aa6,BT_Cry31Ad1	3	165	55; BT_Cry31Ad1
#2	BT_Cry70Bb1,NOV_Cry70Bb1_67.1_OUB77817.1,BT_Cry70Ba1	3	166	BT_Cry70Bb1; 90
#2	BT_Cry30Aa1,BT_Cry30Ea1,BT_Cry30Fa1	3	167	58; BT_Cry30Fa1
#2	BT_Cry30Db1,BT_Cry30Da1,BT_Cry30Ga1	3	168	BT_Cry30Db1; 59
#2	NOV_Cry54Aa1_88.1_AFU17344.1,BT_Cry54Aa1,BT_Cry54Ba1	3	169	95; BT_Cry54Ba1
#2	NOV_Cry32Ta1_48.0_AQX37180.1,BT_Cry32Qa1,BT_Cry32Ta1	3	170	96; BT_Cry32Ta1
#2	NOV_Cry40Da1_81.5_AIN76756.1,NOV_Cry40Da1_77.3_ARJ25823.1,BT_Cry40Da1	3	171	107; BT_Cry40Da1
#2	NOV_Cry21Ca2_65.9_AZR80774.1,NOV_Cry21Ca2_64.6_AZR80780.1,BT_Cry21Ca1	3	172	114; BT_Cry21Ca1
#2	BT_Cry56Aa1,NOV_Cry56Aa4_77.6_ARJ25668.1,NOV_Cry56Aa4_79.3_WP_103592286.1	3	173	BT_Cry56Aa1; 124
#2	NOV_Cry9Ga1_57.2_PEU81077.1,BT_Cry9Aa1,BT_Cry9Ga1	3	174	NOV_Cry9Ga1_57.2_PEU81077.1; 1
#2	NOV_Cry8Ha1_89.8_ATY50148.1,NOV_Cry8Ha1_89.4_ABB29866.1,BT_Cry8Ha1	3	175	NOV_Cry8Ha1_89.8_ATY50148.1; 71
#2	NOV_Cry8Ab1_80.3_AFP44678.1,BT_Cry8Ac1,BT_Cry8Ab1	3	176	NOV_Cry8Ab1_80.3_AFP44678.1; 13
#2	NOV_Cry4Cb3_34.4_PEA86378.1,BT_Cry4Ca1,BT_Cry28Aa2	3	177	NOV_Cry4Cb3_34.4_PEA86378.1; 34
#2	NOV_Cry32Ma1_57.7_AXY11484.1,BT_Cry32Ua1,BT_Cry32Da1	3	178	NOV_Cry32Ma1_57.7_AXY11484.1; 39
#2	NOV_Cry41Ba2_42.3_BAD35166.1,BT_Cry41Ba2,BT_Cry32Pa1	3	179	NOV_Cry41Ba2_42.3_BAD35166.1; 40
#2	NOV_Cry32Wa1_39.0_PEE63029.1,BT_Cry62Aa1,NOV_Cry41Ca1_50.4_AZJ24166.1	3	180	NOV_Cry32Wa1_39.0_PEE63029.1; 81
#2	NOV_Cry8Da1_43.7_ANC11094.1,NOV_Cry8Ca1_41.2_AST51780.1,NOV_Cry8Ca1_42.6_ABY46520.1	3	181	NOV_Cry8Da1_43.7_ANC11094.1; 102
#2	BT_Cry1Eb1,BT_Cry1Ea10,NOV_Cry1Ea10_93.2_AAX86871.1	3	182	29; NOV_Cry1Ea10_93.2_AAX86871.1
#2	NOV_Cry52Ca1_62.9_AZJ24464.1,BT_Cry52Ba1,BT_Cry52Aa1	3	183	NOV_Cry52Ca1_62.9_AZJ24464.1; 50
#2	NOV_Cry19Aa1_29.2_PEA88281.1,BT_Cry17Aa1,BT_Cry16Aa1	3	184	NOV_Cry19Aa1_29.2_PEA88281.1; 57
#2	NOV_Cry58Aa1_29.0_AGS78123.2,NOV_Cry21Fa1_31.0_OTW70091.1,NOV_Cry21Fa1_47.3_OTY57628.1	3	185	NOV_Cry58Aa1_29.0_AGS78123.2; 116
#2	NOV_Cry14Ab1_42.4_PGW46196.1,NOV_Cry14Aa1_44.0_PGW42274.1,NOV_Cry13Aa1_50.1_ANS46780.1	3	186	117; NOV_Cry13Aa1_50.1_ANS46780.1
#2	NOV_Cry69Ab1_59.2_WP_103591619.1,NOV_Cry69Aa2_62.7_WP_103591151.1,NOV_Cry69Ab1_58.0_PEU83535.1	3	187	125; NOV_Cry69Ab1_58.0_PEU83535.1
#2	NOV_Cry10Aa1_94.4_ABW89736.1,NOV_Cry10Aa1_97.2_ABW89735.1,NOV_Cry10Aa1_97.0_ABW89733.1	3	188	NOV_Cry10Aa1_94.4_ABW89736.1; 119
#2	NOV_Cry68Aa1_74.8_WP_103592020.1,NOV_Cry68Aa1_80.1_PEU91245.1,BT_Cry68Aa1	3	189	NOV_Cry68Aa1_74.8_WP_103592020.1; 83
#2	NOV_Cry53Ab1_40.0_CAH33955.1,NOV_Cry53Ab1_40.9_APA45008.1,NOV_Cry53Aa1_40.7_WP_103591149.1	3	190	111; NOV_Cry53Aa1_40.7_WP_103591149.1
