Assembly,Level,Cry,ID,Prot_accession,Contig_accession
GCA_000300475.1,Complete Genome,BT_Cry69Aa2,100,AFU17214.1,CP003691.1
GCA_000300475.1,Complete Genome,NOV_Cry54Aa1_94.0_AFU17297.1,94,AFU17297.1,CP003692.1
GCA_000300475.1,Complete Genome,NOV_Cry68Aa1_99.9_AFU17323.1,99.9,AFU17323.1,CP003692.1
GCA_000300475.1,Complete Genome,NOV_Cry30Fa1_98.8_AFU17333.1,98.8,AFU17333.1,CP003692.1
GCA_000300475.1,Complete Genome,BT_Cry54Ab1,100,AFU17344.1,CP003692.1
GCA_000300475.1,Complete Genome,NOV_Cry53Ab1_99.7_AFU17354.1,99.7,AFU17354.1,CP003692.1
GCA_000300475.1,Complete Genome,BT_Cry69Aa1,100,AFU16949.1,CP003690.1
GCA_000300475.1,Complete Genome,NOV_Cry4Cc1_99.4_AFU17015.1,99.4,AFU17015.1,CP003690.1
GCA_000300475.1,Complete Genome,NOV_Cry70Ba1_98.6_AFU17024.1,98.6,AFU17024.1,CP003690.1
GCA_000338755.1,Complete Genome,BT_Cry1Ac1,100,AGE81486.1,CP004070.1
GCA_000341665.1,Complete Genome,BT_Cry1Ba1,100,AGG04729.1,CP004134.1
GCA_000341665.1,Complete Genome,BT_Cry2Ab1,100,AGG05318.1,CP004136.1
GCA_000341665.1,Complete Genome,BT_Cry1Aa12,100,AGG05325.1,CP004136.1
GCA_000341665.1,Complete Genome,BT_Cry1Ia10,100,AGG05326.1,CP004136.1
GCA_000341665.1,Complete Genome,BT_Cry2Aa1,100,AGG05333.1,CP004136.1
GCA_000341665.1,Complete Genome,BT_Cry1Ab21,100,AGG04467.1,CP004131.1
GCA_000387405.2,Scaffold,NOV_Cry1Aa12_96.0_ERH96459.1,96,ERH96459.1,ARXZ02000094.1
GCA_000387405.2,Scaffold,BT_Cry2Ab1,100,ERH97545.1,ARXZ02000029.1
GCA_000387405.2,Scaffold,NOV_Cry1Ba1_99.8_ERH97550.1,99.8,ERH97550.1,ARXZ02000029.1
GCA_000387405.2,Scaffold,BT_Cry1Ia10,100,ERH97551.1,ARXZ02000029.1
GCA_000387405.2,Scaffold,BT_Cry2Aa1,100,ERH97558.1,ARXZ02000029.1
GCA_000468975.2,Scaffold,BT_Cry2Ab1,100,ETE89313.1,AMXS02000188.1
GCA_000468975.2,Scaffold,BT_Cry1Da1,100,ETE91940.1,AMXS02000123.1
GCA_000468975.2,Scaffold,BT_Cry1Ia10,100,ETE91952.1,AMXS02000123.1
GCA_000468975.2,Scaffold,BT_Cry9Ea1,100,ETE96065.1,AMXS02000058.1
GCA_000468995.3,Contig,BT_Cry1Fa1,100,ETE88270.1,AMXT02000369.1
GCA_000468995.3,Contig,BT_Cry1Ia7,100,ETE89765.1,AMXT02000319.1
GCA_000468995.3,Contig,BT_Cry1Da1,100,ETE89897.1,AMXT02000316.1
GCA_000468995.3,Contig,BT_Cry9Ea1,100,ETE93019.1,AMXT02000231.1
GCA_000468995.3,Contig,NOV_Cry1Ca8_97.8_ETE96169.1,97.8,ETE96169.1,AMXT02000151.1
GCA_000468995.3,Contig,NOV_Cry1Aa12_95.9_ETF00019.1,95.9,ETF00019.1,AMXT02000010.1
GCA_000497525.2,Complete Genome,BT_Cry5Ba2,100,AHA70031.1,CP005935.1
GCA_000530375.1,Scaffold,BT_Cry21Fa1,100,CDN39519.1,HG810024.1
GCA_000530375.1,Scaffold,BT_Cry21Ha1,100,CDN39777.1,HG810028.1
GCA_000600315.1,Scaffold,BT_Cry1Bd1,100,EXY04803.1,KK088255.1
GCA_000600315.1,Scaffold,BT_Cry1Ab35,100,EXY04555.1,KK088281.1
GCA_000600315.1,Scaffold,BT_Cry1Cb1,100,EXY04526.1,KK088287.1
GCA_000600315.1,Scaffold,BT_Cry1Ga1,100,EXY04520.1,KK088289.1
GCA_000600315.1,Scaffold,BT_Cry9Aa1,100,EXY04476.1,KK088301.1
GCA_000600315.1,Scaffold,NOV_Cry1Gb2_99.9_EXY04468.1,99.9,EXY04468.1,KK088306.1
GCA_000600315.1,Scaffold,NOV_Cry1Ib7_99.9_EXY05450.1,99.9,EXY05450.1,KK088376.1
GCA_000600315.1,Scaffold,BT_Cry1Db1,100,EXY05451.1,KK088376.1
GCA_000600315.1,Scaffold,BT_Cry1Fb1,100,EXY05452.1,KK088376.1
GCA_000600315.1,Scaffold,BT_Cry2Ac6,100,EXY05361.1,KK088381.1
GCA_000600315.1,Scaffold,NOV_Cry2Ad2_98.1_EXY05362.1,98.1,EXY05362.1,KK088381.1
GCA_000600315.1,Scaffold,BT_Cry2Ab4,100,EXY05115.1,KK088394.1
GCA_000688795.1,Complete Genome,BT_Cry2Ab1,100,AHZ54986.1,CP004861.1
GCA_000688795.1,Complete Genome,BT_Cry1Aa12,100,AHZ54991.1,CP004861.1
GCA_000688795.1,Complete Genome,BT_Cry1Ia10,100,AHZ54992.1,CP004861.1
GCA_000688795.1,Complete Genome,BT_Cry2Aa1,100,AHZ54998.1,CP004861.1
GCA_000688795.1,Complete Genome,BT_Cry1Ac4,100,AHZ55258.1,CP004868.1
GCA_000710255.1,Contig,NOV_Cry1Ac20_89.0_KEH48722.1,89,KEH48722.1,JMHW01000065.1
GCA_000710255.1,Contig,BT_Cry1Ia10,100,KEH48187.1,JMHW01000075.1
GCA_000710255.1,Contig,BT_Cry2Aa1,100,KEH48195.1,JMHW01000075.1
GCA_000710255.1,Contig,BT_Cry2Ab1,100,KEH48048.1,JMHW01000078.1
GCA_000710255.1,Contig,BT_Cry1Ab1,100,KEH45261.1,JMHW01000168.1
GCA_000717535.1,Complete Genome,NOV_Cry2Ab16_99.8_AIE37434.1,99.8,AIE37434.1,CP004876.1
GCA_000717535.1,Complete Genome,NOV_Cry1Aa11_99.9_AIE37439.1,99.9,AIE37439.1,CP004876.1
GCA_000717535.1,Complete Genome,BT_Cry1Ia10,100,AIE37440.1,CP004876.1
GCA_000717535.1,Complete Genome,NOV_Cry2Aa1_99.4_AIE37446.1,99.4,AIE37446.1,CP004876.1
GCA_000717535.1,Complete Genome,BT_Cry1Ab1,100,AIE37011.1,CP004873.1
GCA_000717535.1,Complete Genome,BT_Cry1Ac17,100,AIE37211.1,CP004875.1
GCA_000747545.1,Complete Genome,BT_Cry2Ab1,100,AIM34735.1,CP007615.1
GCA_000747545.1,Complete Genome,BT_Cry1Aa12,100,AIM34741.1,CP007615.1
GCA_000747545.1,Complete Genome,BT_Cry1Ia10,100,AIM34742.1,CP007615.1
GCA_000747545.1,Complete Genome,BT_Cry2Aa1,100,AIM34751.1,CP007615.1
GCA_000747545.1,Complete Genome,BT_Cry1Ac4,100,AIM34400.1,CP007613.1
GCA_000747545.1,Complete Genome,BT_Cry1Ac4,100,AIM34414.1,CP007614.1
GCA_000774075.2,Complete Genome,NOV_Cry7Gd1_98.0_ALL11724.1,98,ALL21863.1,CP013000.1
GCA_000774075.2,Complete Genome,NOV_Cry7Cb1_96.0_ALL11871.1,96,ALL25005.1,CP013000.1
GCA_000774075.2,Complete Genome,BT_Cry7Ea2,100,ALL21966.1,CP013000.1
GCA_000774075.2,Complete Genome,NOV_Cry67Aa1_99.0_ALL11835.1,99,ALL21973.1,CP013000.1
GCA_000774075.2,Complete Genome,BT_Cry7Fa2,100,ALL21979.1,CP013000.1
GCA_000774075.2,Complete Genome,BT_Cry61Aa3,100,ALL21984.1,CP013000.1
GCA_000774075.2,Complete Genome,NOV_Cry7Gd1_98.0_ALL11724.1,98,ALL11724.1,CP013001.1
GCA_000774075.2,Complete Genome,NOV_Cry7Cb1_96.0_ALL11871.1,96,ALL11871.1,CP013001.1
GCA_000774075.2,Complete Genome,BT_Cry7Ea2,100,ALL11828.1,CP013001.1
GCA_000774075.2,Complete Genome,NOV_Cry67Aa1_99.0_ALL11835.1,99,ALL11835.1,CP013001.1
GCA_000774075.2,Complete Genome,BT_Cry7Fa2,100,ALL11841.1,CP013001.1
GCA_000774075.2,Complete Genome,BT_Cry61Aa3,100,ALL11846.1,CP013001.1
GCA_000803665.1,Complete Genome,BT_Cry1Ac1,100,AJA23643.1,CP010092.1
GCA_000803665.1,Complete Genome,BT_Cry2Ab1,100,AJA23501.1,CP010091.1
GCA_000803665.1,Complete Genome,BT_Cry1Aa12,100,AJA23506.1,CP010091.1
GCA_000803665.1,Complete Genome,BT_Cry1Ia10,100,AJA23507.1,CP010091.1
GCA_000803665.1,Complete Genome,BT_Cry9Ea1,100,AJA23511.1,CP010091.1
GCA_000803665.1,Complete Genome,BT_Cry1Ca15,100,AJA23086.1,CP010090.1
GCA_000803665.1,Complete Genome,BT_Cry1Da1,100,AJA23088.1,CP010090.1
GCA_000833655.1,Contig,NOV_Cry1Ka1_98.4_KIP24267.1,98.4,KIP24267.1,JTHH01000008.1
GCA_000833655.1,Contig,NOV_Cry1Ib11_99.9_KIP24195.1,99.9,KIP24195.1,JTHH01000008.1
GCA_000835235.1,Chromosome,BT_Cry1Ac17,100,AJK38183.1,CP009999.1
GCA_000835235.1,Chromosome,BT_Cry2Aa1,100,AJK37985.1,CP009999.1
GCA_000835235.1,Chromosome,BT_Cry1Ia10,100,AJK38154.1,CP009999.1
GCA_000835235.1,Chromosome,BT_Cry1Aa11,100,AJK37978.1,CP009999.1
GCA_000835235.1,Chromosome,BT_Cry2Ab1,100,AJK38083.1,CP009999.1
GCA_000835235.1,Chromosome,BT_Cry1Ab1,100,AJK38600.1,CP010003.1
GCA_000878525.1,Scaffold,BT_Cry65Aa2,100,KIU76094.1,KN849182.1
GCA_000878525.1,Scaffold,BT_Cry5Ea2,100,KIU74504.1,KN849188.1
GCA_000878525.1,Scaffold,BT_Cry5Da1,100,KIU74325.1,KN849189.1
GCA_000878525.1,Scaffold,BT_Cry5Ca1,100,KIU70667.1,KN849241.1
GCA_000969665.1,Contig,BT_Cry2Ab1,100,KKB28324.1,JWJY01000059.1
GCA_000969665.1,Contig,BT_Cry1Ac1,100,KKB28329.1,JWJY01000059.1
GCA_001017635.1,Complete Genome,BT_Cry1Ac17,100,AKJ62760.1,CP011350.1
GCA_001017635.1,Complete Genome,BT_Cry2Aa1,100,AKJ62786.1,CP011350.1
GCA_001017635.1,Complete Genome,BT_Cry1Ia10,100,AKJ62789.1,CP011350.1
GCA_001017635.1,Complete Genome,BT_Cry1Aa11,100,AKJ62790.1,CP011350.1
GCA_001017635.1,Complete Genome,BT_Cry2Ab1,100,AKJ62795.1,CP011350.1
GCA_001182785.1,Complete Genome,NOV_Cry30Ga2_97.1_AKR12899.1,97.1,AKR12899.1,CP012101.1
GCA_001182785.1,Complete Genome,BT_Cry71Aa1,100,AKR12909.1,CP012101.1
GCA_001182785.1,Complete Genome,NOV_Cry72Aa1_97.0_AKR12911.1,97,AKR12911.1,CP012101.1
GCA_001182785.1,Complete Genome,NOV_Cry70Aa1_99.9_AKR12921.1,99.9,AKR12921.1,CP012101.1
GCA_001182785.1,Complete Genome,BT_Cry30Ea4,100,AKR13091.1,CP012101.1
GCA_001182785.1,Complete Genome,NOV_Cry69Ab1_99.0_AKR13097.1,99,AKR13097.1,CP012101.1
GCA_001182785.1,Complete Genome,NOV_Cry50Ba2_99.9_AKR13106.1,99.9,AKR13106.1,CP012101.1
GCA_001182785.1,Complete Genome,BT_Cry56Aa4,100,AKR13252.1,CP012103.1
GCA_001182785.1,Complete Genome,BT_Cry54Ba2,100,AKR13360.1,CP012108.1
GCA_001183785.1,Complete Genome,BT_Cry7Da1,100,AKR38906.1,CP010111.1
GCA_001183785.1,Complete Genome,BT_Cry7Fb2,100,AKR38911.1,CP010111.1
GCA_001183785.1,Complete Genome,BT_Cry7Ga2,100,AKR38949.1,CP010111.1
GCA_001402735.1,Scaffold,BT_Cry4Ba1,100,KQB18012.1,LIIT01000231.1
GCA_001402735.1,Scaffold,BT_Cry10Aa3,100,KQB17992.1,LIIT01000238.1
GCA_001402735.1,Scaffold,BT_Cry11Aa1,100,KQB18067.1,LIIT01000204.1
GCA_001420855.1,Complete Genome,BT_Cry1Ac17,100,ALL62164.1,CP013056.1
GCA_001420855.1,Complete Genome,BT_Cry2Aa1,100,ALL62189.1,CP013056.1
GCA_001548175.1,Complete Genome,BT_Cry2Aa8,100,BAR87544.1,AP014866.1
GCA_001548175.1,Complete Genome,BT_Cry1Ia10,100,BAR87552.1,AP014866.1
GCA_001548175.1,Complete Genome,NOV_Cry1Ea11_98.2_BAR87554.1,98.2,BAR87554.1,AP014866.1
GCA_001595725.1,Complete Genome,BT_Cry8Ea1,100,AMR06122.1,CP014284.1
GCA_001595725.1,Complete Genome,NOV_Cry8Ab1_80.0_AMR06151.1,80,AMR06151.1,CP014284.1
GCA_001598095.1,Complete Genome,NOV_Cry1Fb4_99.8_AMR88428.1,99.8,AMR88428.1,CP014852.1
GCA_001598095.1,Complete Genome,NOV_Cry1Hb1_98.0_AMR88562.1,98,AMR88562.1,CP014853.1
GCA_001598095.1,Complete Genome,BT_Cry1Bb1,100,AMR88563.1,CP014853.1
GCA_001598095.1,Complete Genome,BT_Cry1Ab18,100,AMR88565.1,CP014853.1
GCA_001598095.1,Complete Genome,NOV_Cry1Nb1_99.0_AMR88570.1,99,AMR88570.1,CP014853.1
GCA_001598095.1,Complete Genome,BT_Cry1Ja2,100,AMR88574.1,CP014853.1
GCA_001598095.1,Complete Genome,BT_Cry1Id1,100,AMR88576.1,CP014853.1
GCA_001598095.1,Complete Genome,NOV_Cry1Da3_99.9_AMR88578.1,99.9,AMR88578.1,CP014853.1
GCA_001598095.1,Complete Genome,BT_Cry2Ad1,100,AMR88604.1,CP014853.1
GCA_001640965.1,Complete Genome,BT_Cry2Ab1,100,AND11132.1,CP015177.1
GCA_001640965.1,Complete Genome,NOV_Cry1Ae1_99.9_AND11141.1,99.9,AND11141.1,CP015177.1
GCA_001685565.1,Complete Genome,BT_Cry13Aa1,100,ANS46158.1,CP015350.1
GCA_001685565.1,Complete Genome,NOV_Cry13Aa1_50.1_ANS46780.1,50.1,ANS46780.1,CP015350.1
GCA_001685565.1,Complete Genome,NOV_Cry13Aa1_87.1_ANS50148.1,87.1,ANS50148.1,CP015350.1
GCA_001721165.1,Complete Genome,NOV_Cry21Ea1_40.3_AOM14729.1,40.3,AOM14729.1,CP015255.1
GCA_001880115.1,Scaffold,BT_Cry9Ea1,100,OIX12409.1,MOXQ01000142.1
GCA_001880115.1,Scaffold,BT_Cry1Ca15,100,OIX18506.1,MOXQ01000033.1
GCA_001880115.1,Scaffold,BT_Cry1Ia10,100,OIX18511.1,MOXQ01000033.1
GCA_001880115.1,Scaffold,BT_Cry2Ab1,100,OIX15228.1,MOXQ01000092.1
GCA_001880125.1,Scaffold,BT_Cry1Ia10,100,OIX23464.1,MOXR01000070.1
GCA_001880125.1,Scaffold,BT_Cry2Aa1,100,OIX23467.1,MOXR01000070.1
GCA_001880125.1,Scaffold,BT_Cry2Ab1,100,OIX21407.1,MOXR01000082.1
GCA_001968805.1,Contig,BT_Cry8Pa2,100,OMH24296.1,MSFC01000068.1
GCA_001968805.1,Contig,BT_Cry8Qa1,100,OMH23709.1,MSFC01000080.1
GCA_001968805.1,Contig,BT_Cry8Kb1,100,OMH24237.1,MSFC01000071.1
GCA_002025105.1,Complete Genome,BT_Cry1Ab34,100,AQY42679.1,CP020005.1
GCA_002025105.1,Complete Genome,NOV_Cry1Ia14_99.2_AQY42680.1,99.2,AQY42680.1,CP020005.1
GCA_002025105.1,Complete Genome,NOV_Cry1Bd2_99.8_AQY42687.1,99.8,AQY42687.1,CP020005.1
GCA_002119445.1,Complete Genome,BT_Cry1Ba1,100,ARP61632.1,CP021063.1
GCA_002119445.1,Complete Genome,BT_Cry1Ab1,100,ARP61819.1,CP021065.1
GCA_002146315.1,Contig,BT_Cry1Bd1,100,OTW73736.1,NFCH01000013.1
GCA_002146315.1,Contig,NOV_Cry9Ba2_99.4_OTW73398.1,99.4,OTW73398.1,NFCH01000017.1
GCA_002146315.1,Contig,NOV_Cry2Ab4_96.7_OTW63083.1,96.7,OTW63083.1,NFCH01000075.1
GCA_002146315.1,Contig,NOV_Cry2Ab4_98.6_OTW61456.1,98.6,OTW61456.1,NFCH01000100.1
GCA_002146315.1,Contig,BT_Cry1Ga1,100,OTW56025.1,NFCH01000147.1
GCA_002146315.1,Contig,BT_Cry9Aa1,100,OTW54288.1,NFCH01000169.1
GCA_002146315.1,Contig,BT_Cry1Cb1,100,OTW53899.1,NFCH01000171.1
GCA_002146315.1,Contig,NOV_Cry1Gb2_99.8_OTW53896.1,99.8,OTW53896.1,NFCH01000172.1
GCA_002146315.1,Contig,BT_Cry1Db1,100,OTW51791.1,NFCH01000188.1
GCA_002146315.1,Contig,BT_Cry1Fb1,100,OTW51792.1,NFCH01000188.1
GCA_002146315.1,Contig,NOV_Cry1Ab35_99.6_OTW51788.1,99.6,OTW51788.1,NFCH01000189.1
GCA_002146315.1,Contig,NOV_Cry1Ib7_99.9_EXY05450.1,99.9,OTW51776.1,NFCH01000190.1
GCA_002146315.1,Contig,BT_Cry2Ac6,100,OTW47541.1,NFCH01000206.1
GCA_002146325.1,Contig,NOV_Cry7Ab4_99.8_EEM55953.1,99.8,OTW46212.1,NFCF01000088.1
GCA_002146335.1,Scaffold,BT_Cry1Ba1,100,OTW42787.1,NFCE01000025.1
GCA_002146345.1,Contig,NOV_Cry21Ea1_53.3_OTW62068.1,53.3,OTW70091.1,NFCG01000062.1
GCA_002146395.1,Contig,NOV_Cry21Ea1_53.3_OTW62068.1,53.3,OTW62068.1,NFCJ01000033.1
GCA_002146405.1,Contig,NOV_Cry9Aa4_99.9_OTW93738.1,99.9,OTW93738.1,NFCM01000004.1
GCA_002146405.1,Contig,BT_Cry9Eb1,100,OTW87134.1,NFCM01000044.1
GCA_002146405.1,Contig,NOV_Cry9Ee2_99.1_OTW84856.1,99.1,OTW84856.1,NFCM01000064.1
GCA_002146405.1,Contig,BT_Cry1Na1,100,OTW84781.1,NFCM01000065.1
GCA_002146405.1,Contig,BT_Cry9Da1,100,OTW84538.1,NFCM01000071.1
GCA_002146405.1,Contig,BT_Cry1Ie2,100,OTW81389.1,NFCM01000085.1
GCA_002146425.1,Scaffold,BT_Cry1Na1,100,OTX08732.1,NFCN01000013.1
GCA_002146425.1,Scaffold,NOV_Cry9Aa4_99.8_OTX08738.1,99.8,OTX08738.1,NFCN01000013.1
GCA_002146425.1,Scaffold,NOV_Cry9Ee2_98.9_OTW94166.1,98.9,OTW94166.1,NFCN01000079.1
GCA_002146425.1,Scaffold,NOV_Cry9Da3_99.7_OTW94050.1,99.7,OTW94050.1,NFCN01000083.1
GCA_002146425.1,Scaffold,BT_Cry1Ie2,100,OTW90757.1,NFCN01000104.1
GCA_002146445.1,Scaffold,BT_Cry1Ie2,100,OTW84525.1,NFCP01000044.1
GCA_002146445.1,Scaffold,BT_Cry1Na1,100,OTW84402.1,NFCP01000045.1
GCA_002146445.1,Scaffold,NOV_Cry9Da4_99.7_OTW84346.1,99.7,OTW84346.1,NFCP01000046.1
GCA_002146445.1,Scaffold,NOV_Cry9Eb3_95.6_OTW81421.1,95.6,OTW81421.1,NFCP01000057.1
GCA_002146495.1,Contig,NOV_Cry7Ab4_99.8_EEM55953.1,99.8,OTX02121.1,NFCK01000054.1
GCA_002146505.1,Contig,BT_Cry7Ba1,100,OTW70710.1,NFCL01000030.1
GCA_002146505.1,Contig,BT_Cry7Ia1,100,OTW70715.1,NFCL01000030.1
GCA_002146545.1,Scaffold,BT_Cry1Ie2,100,OTX23942.1,NFCQ01000021.1
GCA_002146545.1,Scaffold,NOV_Cry9Da4_99.7_OTW84346.1,99.7,OTX23531.1,NFCQ01000024.1
GCA_002146545.1,Scaffold,BT_Cry1Na1,100,OTX21375.1,NFCQ01000043.1
GCA_002146545.1,Scaffold,NOV_Cry9Eb3_95.6_OTW81421.1,95.6,OTX17826.1,NFCQ01000061.1
GCA_002146595.1,Scaffold,NOV_Cry1Ac2_99.9_OTX40985.1,99.9,OTX40985.1,NFCS01000017.1
GCA_002146595.1,Scaffold,BT_Cry2Ab4,100,OTX38902.1,NFCS01000046.1
GCA_002146595.1,Scaffold,NOV_Cry1Ia14_99.6_OTX17809.1,99.6,OTX17809.1,NFCS01000163.1
GCA_002146595.1,Scaffold,BT_Cry2Aa1,100,OTX17812.1,NFCS01000163.1
GCA_002146605.1,Contig,BT_Cry7Ba1,100,OTX56884.1,NFCZ01000023.1
GCA_002146605.1,Contig,BT_Cry7Ia1,100,OTX56889.1,NFCZ01000023.1
GCA_002146615.1,Scaffold,BT_Cry4Aa2,100,OTX78579.1,NFCT01000009.1
GCA_002146615.1,Scaffold,BT_Cry10Aa3,100,OTX77086.1,NFCT01000028.1
GCA_002146615.1,Scaffold,BT_Cry4Ba1,100,OTX69600.1,NFCT01000074.1
GCA_002146615.1,Scaffold,BT_Cry11Aa1,100,OTX69582.1,NFCT01000075.1
GCA_002146625.1,Scaffold,NOV_Cry28Aa2_99.7_ADY24870.1,99.7,OTX77050.1,NFCW01000018.1
GCA_002146625.1,Scaffold,NOV_Cry26Aa1_95.5_OTX75968.1,95.5,OTX75968.1,NFCW01000023.1
GCA_002146625.1,Scaffold,NOV_Cry28Aa2_99.7_ADY24870.1,99.7,OTX71618.1,NFCW01000048.1
GCA_002146625.1,Scaffold,NOV_Cry28Aa2_99.7_ADY24870.1,99.7,OTX71525.1,NFCW01000049.1
GCA_002146655.1,Contig,BT_Cry7Ba1,100,OTX71494.1,NFDB01000015.1
GCA_002146655.1,Contig,BT_Cry7Ia1,100,OTX71499.1,NFDB01000015.1
GCA_002146755.1,Contig,BT_Cry7Ka1,100,OTY10661.1,NFDH01000063.1
GCA_002146755.1,Contig,NOV_Cry7Cb1_60.4_OTY00887.1,60.4,OTY00887.1,NFDH01000100.1
GCA_002146755.1,Contig,NOV_Cry7Gc1_99.8_OTY00858.1,99.8,OTY00858.1,NFDH01000100.1
GCA_002146785.1,Scaffold,BT_Cry3Aa1,100,OTY42695.1,NFDJ01000047.1
GCA_002146785.1,Scaffold,NOV_Cry28Aa2_99.7_ADY24870.1,99.7,OTY31851.1,NFDJ01000115.1
GCA_002146815.1,Scaffold,BT_Cry7Ba1,100,OTY27002.1,NFDK01000027.1
GCA_002146815.1,Scaffold,BT_Cry7Ia1,100,OTY27007.1,NFDK01000027.1
GCA_002146825.1,Contig,BT_Cry8Ac1,100,OTY48305.1,NFDL01000013.1
GCA_002146825.1,Contig,BT_Cry8Ac1,100,OTY48272.1,NFDL01000014.1
GCA_002146825.1,Contig,BT_Cry8Ac1,100,OTY48296.1,NFDL01000014.1
GCA_002146825.1,Contig,BT_Cry8Ac1,100,OTY42322.1,NFDL01000063.1
GCA_002146845.1,Scaffold,BT_Cry2Ab1,100,OTY44027.1,NFDM01000077.1
GCA_002146885.1,Scaffold,BT_Cry21Da1,100,OTY60291.1,NFDP01000018.1
GCA_002146885.1,Scaffold,BT_Cry21Ea1,100,OTY57628.1,NFDP01000027.1
GCA_002146885.1,Scaffold,BT_Cry21Ca2,100,OTY55646.1,NFDP01000047.1
GCA_002146905.1,Contig,BT_Cry8Ta1,100,OTY74981.1,NFDQ01000061.1
GCA_002146905.1,Contig,BT_Cry8Ma2,100,OTY74274.1,NFDQ01000067.1
GCA_002146905.1,Contig,NOV_Cry8Ia4_99.0_OTY74147.1,99,OTY74147.1,NFDQ01000068.1
GCA_002146945.1,Contig,BT_Cry1Ba2,100,OTY85625.1,NFDT01000220.1
GCA_002147025.1,Contig,BT_Cry7Ia1,100,OTX53140.1,NFCY01000015.1
