Start,Stop,Event
3906,4491,"node=""N91->NOV_Cry32Va1_61.0_WP_134996253.1"";neg_log_likelihood=""172.472365"";taxa=""NOV_Cry32Va1_61.0_WP_134996253.1"";snp_count=""40"";"
4497,4992,"node=""N91->NOV_Cry32Va1_61.0_WP_134996253.1"";neg_log_likelihood=""121.993990"";taxa=""NOV_Cry32Va1_61.0_WP_134996253.1"";snp_count=""31"";"
231,755,"node=""N90->N91"";neg_log_likelihood=""422.800118"";taxa="" BT_Cry32Va1 NOV_Cry32Va1_61.0_WP_134996253.1"";snp_count=""94"";"
815,1026,"node=""N90->N91"";neg_log_likelihood=""363.418832"";taxa="" BT_Cry32Va1 NOV_Cry32Va1_61.0_WP_134996253.1"";snp_count=""40"";"
2617,2673,"node=""N90->N91"";neg_log_likelihood=""333.228141"";taxa="" BT_Cry32Va1 NOV_Cry32Va1_61.0_WP_134996253.1"";snp_count=""29"";"
2264,2294,"node=""N90->N91"";neg_log_likelihood=""311.348775"";taxa="" BT_Cry32Va1 NOV_Cry32Va1_61.0_WP_134996253.1"";snp_count=""12"";"
2258,2818,"node=""N90->BT_Cry32Ta1"";neg_log_likelihood=""359.748839"";taxa=""BT_Cry32Ta1"";snp_count=""127"";"
2299,2645,"node=""N89->NOV_Cry32Ta1_48.0_AQX37180.1"";neg_log_likelihood=""439.724490"";taxa=""NOV_Cry32Ta1_48.0_AQX37180.1"";snp_count=""68"";"
2325,2748,"node=""N92->BT_Cry32Ja1"";neg_log_likelihood=""392.793342"";taxa=""BT_Cry32Ja1"";snp_count=""60"";"
2754,3016,"node=""N92->BT_Cry32Ra1"";neg_log_likelihood=""336.641079"";taxa=""BT_Cry32Ra1"";snp_count=""45"";"
2639,2764,"node=""N87->N92"";neg_log_likelihood=""267.599265"";taxa="" BT_Cry32Ja1 BT_Cry32Ra1"";snp_count=""20"";"
4501,4846,"node=""N87->N92"";neg_log_likelihood=""247.082917"";taxa="" BT_Cry32Ja1 BT_Cry32Ra1"";snp_count=""28"";"
1818,2086,"node=""N98->BT_Cry2Ba2"";neg_log_likelihood=""244.396927"";taxa=""BT_Cry2Ba2"";snp_count=""68"";"
2377,3605,"node=""N98->BT_Cry2Ba2"";neg_log_likelihood=""176.991772"";taxa=""BT_Cry2Ba2"";snp_count=""52"";"
182,1015,"node=""N105->BT_Cry2Ai1"";neg_log_likelihood=""80.880826"";taxa=""BT_Cry2Ai1"";snp_count=""25"";"
1805,2329,"node=""N102->N103"";neg_log_likelihood=""105.600237"";taxa="" BT_Cry2Aa3  BT_Cry2Al1  BT_Cry2Aa13 BT_Cry2Ai1"";snp_count=""46"";"
1591,2053,"node=""N110->BT_Cry2Ab12"";neg_log_likelihood=""61.237595"";taxa=""BT_Cry2Ab12"";snp_count=""30"";"
180,597,"node=""N108->NOV_Cry2Ab4_93.2_AIT70915.1"";neg_log_likelihood=""110.476491"";taxa=""NOV_Cry2Ab4_93.2_AIT70915.1"";snp_count=""23"";"
1843,2316,"node=""N107->BT_Cry2Ad5"";neg_log_likelihood=""122.904167"";taxa=""BT_Cry2Ad5"";snp_count=""32"";"
1922,2063,"node=""N99->N100"";neg_log_likelihood=""150.725092"";taxa="" NOV_Cry2Ah2_92.7_AX098631.1    BT_Cry2Aa3  BT_Cry2Al1  BT_Cry2Aa13 BT_Cry2Ai1 BT_Cry2Ak1    NOV_Cry2Ab4_93.2_AIT70915.1  BT_Cry2Ab15  BT_Cry2Ab12 BT_Cry2Ag1 BT_Cry2Ad5 BT_Cry2Ah3"";snp_count=""19"";"
3490,3643,"node=""N99->N100"";neg_log_likelihood=""118.951119"";taxa="" NOV_Cry2Ah2_92.7_AX098631.1    BT_Cry2Aa3  BT_Cry2Al1  BT_Cry2Aa13 BT_Cry2Ai1 BT_Cry2Ak1    NOV_Cry2Ab4_93.2_AIT70915.1  BT_Cry2Ab15  BT_Cry2Ab12 BT_Cry2Ag1 BT_Cry2Ad5 BT_Cry2Ah3"";snp_count=""24"";"
4186,4309,"node=""N112->BT_Cry18Ba1"";neg_log_likelihood=""214.462083"";taxa=""BT_Cry18Ba1"";snp_count=""22"";"
3905,4175,"node=""N112->BT_Cry18Ca1"";neg_log_likelihood=""257.252350"";taxa=""BT_Cry18Ca1"";snp_count=""30"";"
4697,5027,"node=""N112->BT_Cry18Ca1"";neg_log_likelihood=""223.693347"";taxa=""BT_Cry18Ca1"";snp_count=""32"";"
765,935,"node=""N113->BT_Cry65Aa2"";neg_log_likelihood=""540.213153"";taxa=""BT_Cry65Aa2"";snp_count=""48"";"
3171,3304,"node=""N113->NOV_Cry65Aa2_55.6_PDY37670.1"";neg_log_likelihood=""470.486800"";taxa=""NOV_Cry65Aa2_55.6_PDY37670.1"";snp_count=""35"";"
4249,4874,"node=""N93->N113"";neg_log_likelihood=""230.546347"";taxa="" BT_Cry65Aa2 NOV_Cry65Aa2_55.6_PDY37670.1"";snp_count=""47"";"
3894,4991,"node=""N122->BT_Cry9Ga1"";neg_log_likelihood=""151.914251"";taxa=""BT_Cry9Ga1"";snp_count=""74"";"
4410,4993,"node=""N122->BT_Cry9Aa1"";neg_log_likelihood=""183.705218"";taxa=""BT_Cry9Aa1"";snp_count=""46"";"
3727,4303,"node=""N122->BT_Cry9Aa1"";neg_log_likelihood=""117.331715"";taxa=""BT_Cry9Aa1"";snp_count=""46"";"
525,618,"node=""N119->N120"";neg_log_likelihood=""188.616636"";taxa="" NOV_Cry9Ga1_57.2_PEU81077.1  NOV_Cry9Ga1_58.0_AJS57594.1  BT_Cry9Ga1 BT_Cry9Aa1"";snp_count=""21"";"
2282,2523,"node=""N128->N129"";neg_log_likelihood=""181.044608"";taxa="" BT_Cry20Ba2 NOV_Cry20Ba2_80.0_AGV55017.1"";snp_count=""17"";"
3858,4738,"node=""N131->NOV_Cry24Aa1_60.8_BAD32657.1"";neg_log_likelihood=""294.130094"";taxa=""NOV_Cry24Aa1_60.8_BAD32657.1"";snp_count=""111"";"
4084,4700,"node=""N132->BT_Cry24Ca1"";neg_log_likelihood=""140.863475"";taxa=""BT_Cry24Ca1"";snp_count=""26"";"
3858,5055,"node=""N132->BT_Cry24Da1"";neg_log_likelihood=""214.468708"";taxa=""BT_Cry24Da1"";snp_count=""111"";"
522,683,"node=""N130->N131"";neg_log_likelihood=""237.684743"";taxa="" NOV_Cry24Aa1_60.8_BAD32657.1 NOV_Cry24Aa1_98.3_WP_086403584.1"";snp_count=""25"";"
141,524,"node=""N130->N132"";neg_log_likelihood=""216.536287"";taxa="" BT_Cry24Ca1 BT_Cry24Da1"";snp_count=""41"";"
127,224,"node=""N135->BT_Cry72Aa1"";neg_log_likelihood=""491.717952"";taxa=""BT_Cry72Aa1"";snp_count=""46"";"
303,590,"node=""N139->BT_Cry40Ca1"";neg_log_likelihood=""222.557523"";taxa=""BT_Cry40Ca1"";snp_count=""34"";"
798,1090,"node=""N139->BT_Cry40Ca1"";neg_log_likelihood=""188.543014"";taxa=""BT_Cry40Ca1"";snp_count=""36"";"
3742,4994,"node=""N139->NOV_Cry40Aa1_67.9_CQ868314.1"";neg_log_likelihood=""248.185615"";taxa=""NOV_Cry40Aa1_67.9_CQ868314.1"";snp_count=""170"";"
2250,3243,"node=""N138->N139"";neg_log_likelihood=""69.992769"";taxa="" BT_Cry40Ca1 NOV_Cry40Aa1_67.9_CQ868314.1"";snp_count=""27"";"
777,800,"node=""N138->BT_Cry40Aa1"";neg_log_likelihood=""196.232542"";taxa=""BT_Cry40Aa1"";snp_count=""17"";"
884,1032,"node=""N137->NOV_Cry40Da1_66.9_PEU78339.1"";neg_log_likelihood=""222.936782"";taxa=""NOV_Cry40Da1_66.9_PEU78339.1"";snp_count=""19"";"
487,600,"node=""N137->N138"";neg_log_likelihood=""249.666628"";taxa=""  BT_Cry40Ca1 NOV_Cry40Aa1_67.9_CQ868314.1 BT_Cry40Aa1"";snp_count=""31"";"
4097,4988,"node=""N142->NOV_Cry40Da1_77.3_ARJ25823.1"";neg_log_likelihood=""129.328464"";taxa=""NOV_Cry40Da1_77.3_ARJ25823.1"";snp_count=""71"";"
4293,4702,"node=""N141->N142"";neg_log_likelihood=""148.139232"";taxa="" NOV_Cry40Da1_81.5_AIN76756.1 NOV_Cry40Da1_77.3_ARJ25823.1"";snp_count=""29"";"
4035,4734,"node=""N141->BT_Cry40Da1"";neg_log_likelihood=""102.500758"";taxa=""BT_Cry40Da1"";snp_count=""27"";"
288,602,"node=""N140->N141"";neg_log_likelihood=""143.746064"";taxa=""  NOV_Cry40Da1_81.5_AIN76756.1 NOV_Cry40Da1_77.3_ARJ25823.1 BT_Cry40Da1"";snp_count=""21"";"
881,1094,"node=""N140->NOV_Cry40Da1_65.0_CAH33957.1"";neg_log_likelihood=""211.590584"";taxa=""NOV_Cry40Da1_65.0_CAH33957.1"";snp_count=""23"";"
2097,3239,"node=""N136->N140"";neg_log_likelihood=""87.029412"";taxa=""   NOV_Cry40Da1_81.5_AIN76756.1 NOV_Cry40Da1_77.3_ARJ25823.1 BT_Cry40Da1 NOV_Cry40Da1_65.0_CAH33957.1"";snp_count=""37"";"
4572,4993,"node=""N134->N136"";neg_log_likelihood=""194.197313"";taxa=""  NOV_Cry40Da1_66.9_PEU78339.1   BT_Cry40Ca1 NOV_Cry40Aa1_67.9_CQ868314.1 BT_Cry40Aa1    NOV_Cry40Da1_81.5_AIN76756.1 NOV_Cry40Da1_77.3_ARJ25823.1 BT_Cry40Da1 NOV_Cry40Da1_65.0_CAH33957.1"";snp_count=""27"";"
133,761,"node=""N143->BT_Cry59Aa1"";neg_log_likelihood=""257.436823"";taxa=""BT_Cry59Aa1"";snp_count=""114"";"
829,1133,"node=""N143->BT_Cry59Aa1"";neg_log_likelihood=""173.839164"";taxa=""BT_Cry59Aa1"";snp_count=""30"";"
2742,3002,"node=""N133->N134"";neg_log_likelihood=""411.603118"";taxa=""  BT_Cry72Aa1 BT_Cry40Ba1   NOV_Cry40Da1_66.9_PEU78339.1   BT_Cry40Ca1 NOV_Cry40Aa1_67.9_CQ868314.1 BT_Cry40Aa1    NOV_Cry40Da1_81.5_AIN76756.1 NOV_Cry40Da1_77.3_ARJ25823.1 BT_Cry40Da1 NOV_Cry40Da1_65.0_CAH33957.1"";snp_count=""34"";"
4717,4917,"node=""N133->N143"";neg_log_likelihood=""382.409892"";taxa="" BT_Cry59Aa1 BT_Cry59Ba1"";snp_count=""36"";"
3859,4400,"node=""N133->N143"";neg_log_likelihood=""352.327432"";taxa="" BT_Cry59Aa1 BT_Cry59Ba1"";snp_count=""61"";"
879,1022,"node=""N126->N133"";neg_log_likelihood=""206.088151"";taxa=""   BT_Cry72Aa1 BT_Cry40Ba1   NOV_Cry40Da1_66.9_PEU78339.1   BT_Cry40Ca1 NOV_Cry40Aa1_67.9_CQ868314.1 BT_Cry40Aa1    NOV_Cry40Da1_81.5_AIN76756.1 NOV_Cry40Da1_77.3_ARJ25823.1 BT_Cry40Da1 NOV_Cry40Da1_65.0_CAH33957.1  BT_Cry59Aa1 BT_Cry59Ba1"";snp_count=""28"";"
53,243,"node=""N126->N133"";neg_log_likelihood=""170.485887"";taxa=""   BT_Cry72Aa1 BT_Cry40Ba1   NOV_Cry40Da1_66.9_PEU78339.1   BT_Cry40Ca1 NOV_Cry40Aa1_67.9_CQ868314.1 BT_Cry40Aa1    NOV_Cry40Da1_81.5_AIN76756.1 NOV_Cry40Da1_77.3_ARJ25823.1 BT_Cry40Da1 NOV_Cry40Da1_65.0_CAH33957.1  BT_Cry59Aa1 BT_Cry59Ba1"";snp_count=""32"";"
4077,4600,"node=""N153->BT_Cry19Ba1"";neg_log_likelihood=""272.999275"";taxa=""BT_Cry19Ba1"";snp_count=""42"";"
1958,2069,"node=""N153->BT_Cry19Ba1"";neg_log_likelihood=""229.301650"";taxa=""BT_Cry19Ba1"";snp_count=""25"";"
4740,4975,"node=""N153->BT_Cry19Ba1"";neg_log_likelihood=""204.579173"";taxa=""BT_Cry19Ba1"";snp_count=""21"";"
4293,4628,"node=""N153->NOV_Cry19Ba1_74.0_AGV55021.1"";neg_log_likelihood=""199.124876"";taxa=""NOV_Cry19Ba1_74.0_AGV55021.1"";snp_count=""23"";"
2219,2264,"node=""N156->BT_Cry52Aa1"";neg_log_likelihood=""188.056997"";taxa=""BT_Cry52Aa1"";snp_count=""21"";"
4330,4737,"node=""N156->BT_Cry52Aa1"";neg_log_likelihood=""166.606148"";taxa=""BT_Cry52Aa1"";snp_count=""25"";"
2651,2979,"node=""N155->N156"";neg_log_likelihood=""300.957144"";taxa="" BT_Cry52Aa1 BT_Cry52Ba1"";snp_count=""23"";"
3325,3429,"node=""N155->N156"";neg_log_likelihood=""277.920955"";taxa="" BT_Cry52Aa1 BT_Cry52Ba1"";snp_count=""14"";"
486,656,"node=""N155->BT_Cry52Ca1"";neg_log_likelihood=""279.416557"";taxa=""BT_Cry52Ca1"";snp_count=""33"";"
4417,4984,"node=""N154->NOV_Cry52Ca1_62.9_AZJ24464.1"";neg_log_likelihood=""202.841142"";taxa=""NOV_Cry52Ca1_62.9_AZJ24464.1"";snp_count=""41"";"
3715,4391,"node=""N154->NOV_Cry52Ca1_62.9_AZJ24464.1"";neg_log_likelihood=""150.045330"";taxa=""NOV_Cry52Ca1_62.9_AZJ24464.1"";snp_count=""45"";"
3824,5011,"node=""N154->N155"";neg_log_likelihood=""95.396541"";taxa=""  BT_Cry52Aa1 BT_Cry52Ba1 BT_Cry52Ca1"";snp_count=""43"";"
489,603,"node=""N151->N154"";neg_log_likelihood=""305.908747"";taxa="" NOV_Cry52Ca1_62.9_AZJ24464.1   BT_Cry52Aa1 BT_Cry52Ba1 BT_Cry52Ca1"";snp_count=""30"";"
4405,4705,"node=""N150->BT_Cry19Aa1"";neg_log_likelihood=""397.643657"";taxa=""BT_Cry19Aa1"";snp_count=""36"";"
4414,4670,"node=""N149->BT_Cry39Aa1"";neg_log_likelihood=""457.860723"";taxa=""BT_Cry39Aa1"";snp_count=""39"";"
4128,5014,"node=""N165->NOV_Cry4Ba1_63.8_OUB35623.1"";neg_log_likelihood=""190.803856"";taxa=""NOV_Cry4Ba1_63.8_OUB35623.1"";snp_count=""105"";"
83,1015,"node=""N164->BT_Cry50Ba1"";neg_log_likelihood=""268.432200"";taxa=""BT_Cry50Ba1"";snp_count=""143"";"
1104,1593,"node=""N164->BT_Cry50Ba1"";neg_log_likelihood=""146.540974"";taxa=""BT_Cry50Ba1"";snp_count=""26"";"
974,1124,"node=""N164->N165"";neg_log_likelihood=""239.470131"";taxa="" NOV_Cry4Ba1_63.8_OUB35623.1 NOV_Cry4Ba1_63.7_AJW76684.1"";snp_count=""26"";"
282,689,"node=""N164->N165"";neg_log_likelihood=""209.787922"";taxa="" NOV_Cry4Ba1_63.8_OUB35623.1 NOV_Cry4Ba1_63.7_AJW76684.1"";snp_count=""40"";"
177,275,"node=""N166->BT_Cry50Aa1"";neg_log_likelihood=""375.814058"";taxa=""BT_Cry50Aa1"";snp_count=""35"";"
301,597,"node=""N166->N167"";neg_log_likelihood=""300.831151"";taxa="" BT_Cry4Ba1 BT_Cry4Ba3"";snp_count=""33"";"
2268,2564,"node=""N173->N174"";neg_log_likelihood=""228.175390"";taxa="" BT_Cry30Db1 BT_Cry30Da1"";snp_count=""35"";"
2676,3060,"node=""N173->N174"";neg_log_likelihood=""189.672177"";taxa="" BT_Cry30Db1 BT_Cry30Da1"";snp_count=""30"";"
3828,5049,"node=""N172->NOV_Cry30Ga2_64.5_ARJ25665.1"";neg_log_likelihood=""226.262772"";taxa=""NOV_Cry30Ga2_64.5_ARJ25665.1"";snp_count=""153"";"
127,1032,"node=""N171->N172"";neg_log_likelihood=""159.233906"";taxa=""  BT_Cry30Ga1  BT_Cry30Db1 BT_Cry30Da1 NOV_Cry30Ga2_64.5_ARJ25665.1"";snp_count=""99"";"
287,601,"node=""N171->BT_Cry30Fa1"";neg_log_likelihood=""168.455889"";taxa=""BT_Cry30Fa1"";snp_count=""21"";"
2315,2534,"node=""N175->BT_Cry30Ea1"";neg_log_likelihood=""235.483248"";taxa=""BT_Cry30Ea1"";snp_count=""28"";"
2797,3038,"node=""N175->BT_Cry30Ea1"";neg_log_likelihood=""209.337637"";taxa=""BT_Cry30Ea1"";snp_count=""14"";"
1828,2036,"node=""N169->N170"";neg_log_likelihood=""93.038076"";taxa=""    BT_Cry30Ga1  BT_Cry30Db1 BT_Cry30Da1 NOV_Cry30Ga2_64.5_ARJ25665.1 BT_Cry30Fa1  BT_Cry30Ea1 BT_Cry30Aa1"";snp_count=""21"";"
3825,5032,"node=""N168->NOV_Cry30Ca1_66.6_BAD00052.1"";neg_log_likelihood=""226.218779"";taxa=""NOV_Cry30Ca1_66.6_BAD00052.1"";snp_count=""143"";"
3742,5049,"node=""N183->NOV_Cry54Aa1_88.1_AFU17344.1"";neg_log_likelihood=""124.144548"";taxa=""NOV_Cry54Aa1_88.1_AFU17344.1"";snp_count=""172"";"
2654,3140,"node=""N182->N183"";neg_log_likelihood=""411.748996"";taxa="" BT_Cry54Aa1 NOV_Cry54Aa1_88.1_AFU17344.1"";snp_count=""49"";"
2645,3075,"node=""N182->BT_Cry54Ba1"";neg_log_likelihood=""383.892029"";taxa=""BT_Cry54Ba1"";snp_count=""60"";"
2321,2562,"node=""N182->BT_Cry54Ba1"";neg_log_likelihood=""334.305595"";taxa=""BT_Cry54Ba1"";snp_count=""43"";"
4752,4885,"node=""N182->BT_Cry54Ba1"";neg_log_likelihood=""299.041932"";taxa=""BT_Cry54Ba1"";snp_count=""33"";"
828,1022,"node=""N179->N182"";neg_log_likelihood=""201.646018"";taxa=""  BT_Cry54Aa1 NOV_Cry54Aa1_88.1_AFU17344.1 BT_Cry54Ba1"";snp_count=""45"";"
2658,2759,"node=""N178->NOV_Cry4Cb3_34.4_PEA86378.1"";neg_log_likelihood=""480.095822"";taxa=""NOV_Cry4Cb3_34.4_PEA86378.1"";snp_count=""56"";"
4365,4641,"node=""N161->N162"";neg_log_likelihood=""270.111173"";taxa=""   BT_Cry50Ba1  NOV_Cry4Ba1_63.8_OUB35623.1 NOV_Cry4Ba1_63.7_AJW76684.1  BT_Cry50Aa1  BT_Cry4Ba1 BT_Cry4Ba3  NOV_Cry30Ca1_66.6_BAD00052.1  BT_Cry30Ca1     BT_Cry30Ga1  BT_Cry30Db1 BT_Cry30Da1 NOV_Cry30Ga2_64.5_ARJ25665.1 BT_Cry30Fa1  BT_Cry30Ea1 BT_Cry30Aa1"";snp_count=""47"";"
